,probesets,sym,chrom
696,1643_g_at,MTA1,14
697,1644_at,EIF3I,1
698,1645_at,KISS1,1
699,1646_at,XIAP,X
700,1647_at,IQGAP2,5
701,1648_at,OSMR,5
702,1649_at,SMOX,20
703,164_at,GNB3,12
704,1650_g_at,SMOX,20
705,1651_at,UBE2C,20
706,1652_at,PIM2,X
707,1653_at,RPS3A,4
708,1654_at,BRAF,7
709,1655_s_at,FOLH1,11
710,1656_s_at,ABL1,9
711,1657_at,PTPRR,12
712,1658_g_at,PTPRR,12
713,1659_s_at,RHEB,7
714,165_g_at,GNB3,12
715,1660_at,UBE2N,12
716,1661_i_at,KLK3,19
717,1662_r_at,,
718,1663_at,RARG,12
719,1664_at,,
720,1665_s_at,TYMP,22
721,1666_at,IFNA1,9
722,1667_s_at,CYP4B1,1
723,1668_s_at,VHL,3
724,1669_at,WNT5A,3
725,166_at,GPR68,14
726,1670_at,TFDP1,13
727,1671_s_at,MAPK14,6
728,1672_f_at,RB1,13
729,1673_at,NGFR,17
730,1674_at,YES1,18
731,1675_at,RASA1,5
732,1676_s_at,EEF1G,11
733,1677_at,IGFBP5,2
734,1678_g_at,IGFBP5,2
735,1679_at,,
736,167_at,EIF5,14
737,1680_at,GRB7,17
738,1681_at,ESR1,6
739,1682_s_at,ABCB1,7
740,1683_at,WIT1,11
741,1684_s_at,WT1,11
742,1685_at,,
743,1686_g_at,,
744,1687_s_at,BAK1,6
745,1688_s_at,MNAT1,14
746,1689_at,DCHS1,11
747,168_at,ADK,10
748,1690_at,PCDHGB4,5
749,1691_at,PCDHGA12,5
750,1692_s_at,GFRA2,8
751,1693_s_at,TIMP1,X
752,1694_s_at,HNRNPU,1
753,1695_at,NEDD8,14
754,1696_at,POLB,8
755,1697_s_at,PTPRJ,11
756,1698_g_at,MAP2K5,15
757,1699_at,MAP2K5,15
758,169_at,CDX1,5
759,1700_at,BBC3,19
760,1701_at,TEP1,14
761,1702_at,IL2RA,10
762,1703_g_at,E2F4,16
763,1704_at,VAV2,9
764,1705_s_at,LOC100130354,3
765,1706_at,ARAF,X
766,1707_g_at,ARAF,X
767,1708_at,MAPK10,4
768,1709_g_at,MAPK10,4
769,170_at,CDX2,13
770,1710_s_at,TOP1,20
771,1711_at,TP53BP1,15
772,1712_s_at,MAP2K4,17
773,1713_s_at,CDKN2A,9
774,1714_at,RREB1,6
775,1715_at,TNFSF10,3
776,1716_at,KSR1,17
777,1717_s_at,BIRC3,11
778,1718_at,ARPC2,2
779,1719_at,MSH3,5
780,171_at,VBP1,X
781,1720_at,MAD2L1,4
782,1721_g_at,MAD2L1,4
783,1722_at,MAP2K5,15
784,1723_g_at,ERBB3,12
785,1724_at,E2F4,16
786,1725_s_at,UBE3A,15
787,1726_at,POLE,12
788,1727_at,ERBB4,2
789,1728_at,BMI1,10
790,1729_at,TRADD,16
791,172_at,INPP5D,2
792,1730_s_at,FGF4,11
793,1731_at,PDGFRA,4
794,1732_at,FGF5,4
795,1733_at,BMP6,6
796,1734_at,TGFB3,14
797,1735_g_at,TGFB3,14
798,1736_at,IGFBP6,12
799,1737_s_at,IGFBP4,17
800,1738_at,CDC25A,3
801,1739_at,FOLH1,11
802,173_at,CDH18,5
803,1740_g_at,,
804,1741_s_at,IGFBP2,2
805,1742_at,ERBB3,12
806,1743_s_at,SKIL,3
807,1744_at,,
808,1745_at,RET,10
809,1746_s_at,TRAF2,9
810,1747_at,DNASE2,19
811,1748_s_at,KLF1,19
812,1749_at,GCDH,19
813,174_s_at,ITSN2,2
814,1750_at,FARSA,19
815,1751_g_at,FARSA,19
816,1752_at,CALR,19
817,1753_s_at,RAD23A,19
818,1754_at,DAXX,6
819,1755_i_at,CYP3A4,7
820,1756_f_at,CYP3A4,7
821,1757_i_at,CYP3A7,7
822,1758_r_at,CYP3A7,7
823,1759_f_at,CYP3A7,7
824,175_s_at,PKN1,19
825,1760_s_at,PTPN7,1
826,1761_at,PDGFRL,8
827,1762_at,PMS2L4,7
828,1763_at,PMS2L5,7
829,1764_s_at,MAZ,16
830,1765_at,CASP10,2
831,1766_g_at,CASP10,2
832,1767_s_at,TGFB3,14
833,1768_s_at,CSK,15
834,1769_at,MAST1,19
835,176_at,PPP2R5C,14
836,1770_at,,
837,1771_s_at,PDGFRB,5
838,1772_s_at,FNTA,8
839,1773_at,FNTB,14
840,1774_at,MXD1,2
841,1775_at,POLA2,11
842,1776_at,RRAD,16
843,1777_at,RIN1,11
844,1778_g_at,RIN1,11
845,1779_s_at,PIM1,6
846,177_at,PLD1,3
847,1780_at,FGR,1
848,1781_at,ELK1,X
849,1782_s_at,STMN1,1
850,1783_at,RIN2,20
851,1784_s_at,ARID4A,14
852,1785_at,KDM5A,12
853,1786_at,MERTK,2
854,1787_at,CDKN1C,11
855,1788_s_at,DUSP4,8
856,1789_at,COPS5,8
857,178_f_at,PMS2L1,7
858,1790_s_at,CDK10,16
859,1791_s_at,IFNA2,9
860,1792_g_at,CDK2,12
861,1793_at,CDC2L5,7
862,1794_at,CCND3,6
863,1795_g_at,CCND3,6
864,1796_s_at,BCL3,19
865,1797_at,CDKN2D,19
866,1798_at,SLC39A6,18
867,1799_at,ERCC4,16
868,179_at,PMS2L11,7
869,1800_g_at,ERCC4,16
870,1801_at,BARD1,2
871,1802_s_at,ERBB2,17
872,1803_at,CDC2,10
873,1804_at,KLK3,19
874,1805_g_at,KLK3,19
875,1806_at,MCF2,X
876,1807_g_at,MCF2,X
877,1808_s_at,FAS,10
878,1809_at,CDC7,1
879,180_at,MBOAT7,19
880,1810_s_at,PRKCD,3
881,1811_at,PTPRH,19
882,1812_s_at,MET,7
883,1813_at,RHBDF1,16
884,1814_at,TGFBR2,3
885,1815_g_at,TGFBR2,3
886,1816_at,RASA2,3
887,1817_at,PFDN5,12
888,1818_at,RHOQ,2
889,1819_at,RAP2A,13
890,181_g_at,MBOAT7,19
891,1820_g_at,,
892,1821_at,RAP2B,3
893,1822_at,RET,10
894,1823_g_at,RET,10
895,1824_s_at,PCNA,20
896,1825_at,IQGAP1,15
897,1826_at,RHOB,2
898,1827_s_at,MYC,8
899,1828_s_at,FGF2,4
900,182_at,ITPR3,6
901,1830_s_at,TGFB1,19
902,1831_at,BMP5,6
903,1832_at,MCC,5
904,1833_at,CDK2,12
905,1834_at,GPR176,15
906,1836_at,CCNI,4
907,1837_at,RRAS2,11
908,1838_g_at,RRAS2,11
909,1839_at,RAN,12
910,183_at,MAP2,2
911,1840_g_at,RAN,12
912,1841_s_at,MYCNOS,2
913,1842_at,,
914,1843_at,TRIM27,6
915,1844_s_at,MAP2K1,15
916,1845_at,MAP2K4,17
917,1846_at,LGALS8,1
918,1847_s_at,BCL2,18
919,1848_at,RAP1A,1
920,1849_s_at,ARID4A,14
921,184_at,APLNR,11
922,1850_at,MLH1,3
923,1851_s_at,FASLG,1
924,1852_at,TNF,6
925,1853_at,WNT1,12
926,1854_at,MYBL2,20
927,1855_at,FGF3,11
928,1856_at,REL,2
929,1857_at,SMAD7,18
930,1858_at,FASLG,1
931,1859_s_at,MDM2,12
